Column1,Column2,Column3,Column4
快钱钱包,finance,M_Face_Quality_Assessment.model,E:\mobilesec\apps\finance\快钱钱包\M_Face_Quality_Assessment.model
证券开户,finance,det2_half.caffemodel,E:\mobilesec\apps\finance\证券开户\det2_half.caffemodel
本地出行司机,travel,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\travel\本地出行司机\acn_535_net2.opt.tnnmodel
威海银行直销银行,finance,3dmodel.bin,E:\mobilesec\apps\finance\威海银行直销银行\3dmodel.bin
斯柯达,travel,fdmodel2.bin,E:\mobilesec\apps\travel\斯柯达\fdmodel2.bin
爱唱,video,tt_face_v10.0.model,E:\mobilesec\apps\video\爱唱\tt_face_v10.0.model
天府手机银行,finance,KM_Pageant_88id_Fcfp32_ppl_1.0.7_half_compression_v2_origin.model,E:\mobilesec\apps\finance\天府手机银行\KM_Pageant_88id_Fcfp32_ppl_1.0.7_half_compression_v2_origin.model
趣玩玩,communication,fdmodel.bin,E:\mobilesec\apps\communication\趣玩玩\fdmodel.bin
慧黄山,life,KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model,E:\mobilesec\apps\life\慧黄山\KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model
华人易居,travel,quality_model_secret.bin,E:\mobilesec\apps\travel\华人易居\quality_model_secret.bin
柑橘直播,video,3.model,E:\mobilesec\apps\video\柑橘直播\3.model
易卡运,travel,integrity_model_secret.bin,E:\mobilesec\apps\travel\易卡运\integrity_model_secret.bin
钱大掌柜,finance,M_Detect_Hunter_SmallFace.model,E:\mobilesec\apps\finance\钱大掌柜\M_Detect_Hunter_SmallFace.model
博时基金,finance,SenseID_Ocr_Idcard_Hack_1.0.0.model,E:\mobilesec\apps\finance\博时基金\SenseID_Ocr_Idcard_Hack_1.0.0.model
买单吧,finance,KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model,E:\mobilesec\apps\finance\买单吧\KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model
智猪司机,travel,model.bin,E:\mobilesec\apps\travel\智猪司机\model.bin
贵州公安,life,KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model,E:\mobilesec\apps\life\贵州公安\KM_Hunter_SmallFace_Gray_ppl_9.6.1_half_compression_v1_weak.model
平安财富宝,finance,3dmodel.bin,E:\mobilesec\apps\finance\平安财富宝\3dmodel.bin
众牧,finance,integrity_model_secret.bin,E:\mobilesec\apps\finance\众牧\integrity_model_secret.bin
钱宝5号助手,finance,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\finance\钱宝5号助手\acn_535_net1.opt.tnnmodel
渝钓通,travel,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\travel\渝钓通\1105_mbv2_eye_ch3.opt.tnnmodel
网贷天眼,news,idcard_3.0.0.model,E:\mobilesec\apps\news\网贷天眼\idcard_3.0.0.model
Feijiu网,shopping,quality_model_secret.bin,E:\mobilesec\apps\shopping\Feijiu网\quality_model_secret.bin
奇妙直播,video,filter_style_body.model,E:\mobilesec\apps\video\奇妙直播\filter_style_body.model
160医生,health,tt_face_attribute_v7.0.model,E:\mobilesec\apps\health\160医生\tt_face_attribute_v7.0.model
吉汽约车司机端,travel,M_Liveness_Cnn_half.model,E:\mobilesec\apps\travel\吉汽约车司机端\M_Liveness_Cnn_half.model
流星直播,video,filter_saturation.model,E:\mobilesec\apps\video\流星直播\filter_saturation.model
心语,communication,wallstreet.model,E:\mobilesec\apps\communication\心语\wallstreet.model
万顺代驾司机端,travel,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\travel\万顺代驾司机端\acn_535_net1.opt.tnnmodel
杏花直播,video,5.model,E:\mobilesec\apps\video\杏花直播\5.model
微软必应,life,en-in.transaction_1.0.89.model,E:\mobilesec\apps\life\微软必应\en-in.transaction_1.0.89.model
QQ音乐,video,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\video\QQ音乐\1102_mbv2_p1_eye.opt.tnnmodel
小熊直播,video,filter_style_kushuai.model,E:\mobilesec\apps\video\小熊直播\filter_style_kushuai.model
游吗直播,video,ti_face_tracker.model,E:\mobilesec\apps\video\游吗直播\ti_face_tracker.model
新氧极速版,health,faceidmodel.bin,E:\mobilesec\apps\health\新氧极速版\faceidmodel.bin
友探交友,communication,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\communication\友探交友\1102_mbv2_p1_eye.opt.tnnmodel
招联好期贷,finance,M_Idcard_Mobile_3.0.0.model,E:\mobilesec\apps\finance\招联好期贷\M_Idcard_Mobile_3.0.0.model
思语,communication,com.xjg.facedet.model.dnn.bin,E:\mobilesec\apps\communication\思语\com.xjg.facedet.model.dnn.bin
华安智赢,finance,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\finance\华安智赢\1102_mbv2_p1_eye.opt.tnnmodel
好童声,video,M_SenseME_Face_Extra_5.23.0.model,E:\mobilesec\apps\video\好童声\M_SenseME_Face_Extra_5.23.0.model
铁甲二手机,shopping,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\shopping\铁甲二手机\acn_535_net1.opt.tnnmodel
去哪儿旅行,travel,faceidmodel.bin,E:\mobilesec\apps\travel\去哪儿旅行\faceidmodel.bin
